run,goal_id,result,time_sec,notes,recovery,recovery_types,recovery_hits,bt_start_line,bt_end_line
1,17e0aa56db5fe50198c3c6257aa5cf68,S,27.326,W5D2 Map1 run_XX timeout=120,N,,0,13343,15133
2,13c6705971043c5148296123159a6b6c,S,26.672,W5D2 Map1 run_XX timeout=120,N,,0,17049,18713
3,ad2596fec82538e2c73d2bedd807fd3b,S,25.160,W5D2 Map1 run_XX timeout=120,N,,0,20692,22356
4,9721a8caf4ae03e10a09982cd33fae36,S,25.561,W5D2 Map1 run_XX timeout=120,N,,0,24622,26286
5,e1449a0e8568c38dc8da204827378336,S,25.623,W5D2 Map1 run_XX timeout=120,N,,0,28202,29866
6,5d87f403be0b28a8e44ee9a3bc79be45,S,30.774,W5D2 Map1 run_XX timeout=120,N,,0,32132,34048
7,ab9488be5182abf3f9520bcb8a1438b2,S,31.025,W5D2 Map1 run_XX timeout=120,Y,ClearLocalCostmap,2,35901,37915
8,7518bb7e74c188e348d94a419998efa6,S,25.997,W5D2 Map1 run_XX timeout=120,N,,0,40291,41955
9,b710ce48ed5c8131d2432fd10af77261,S,35.445,W5D2 Map1 run_XX timeout=120,Y,ClearLocalCostmap,2,43934,46200
10,b5467b916b607890dfa237771488df63,S,27.161,W5D2 Map1 run_XX timeout=120,N,,0,48179,49969
11,b8a93bcbec654b7b76b589c6e0d257a9,S,28.628,W5D2 Map1 run_XX timeout=120,N,,0,51822,53675
12,2520438130c2a82979313cbbba1968da,S,36.637,W5D2 Map1 run_XX timeout=120,Y,ClearLocalCostmap,2,55878,58207
13,a5a4b542ebf879a91a25876e01c9ae1a,S,26.261,W5D2 Map1 run_XX timeout=120,N,,0,60060,61787
14,51104957ca096238f88925701b3535f2,S,25.642,W5D2 Map1 run_XX timeout=120,N,,0,63640,65304
15,dcd62cdbdc613c6f603d6887cd8deff4,S,31.268,W5D2 Map1 run_XX timeout=120,Y,ClearLocalCostmap,2,67444,69458
16,cded4b4b49d0d4972bba3a2f9a9bd5fb,S,26.284,W5D2 Map1 run_XX timeout=120,N,,0,71500,73227
17,ace15f7938d39993c2267f535d2d2947,S,25.718,W5D2 Map1 run_XX timeout=120,N,,0,75493,77157
18,5096c6e3d4c40b71db88ff1255493b9f,S,37.117,W5D2 Map1 run_XX timeout=120,Y,ClearLocalCostmap,2,79073,81465
19,754b92f66c6765b2ee9ffbfcc4cac10e,S,27.589,W5D2 Map1 run_XX timeout=120,N,,0,83381,85171
20,67f5e8bc64ddae1fff0208361d1aec61,S,31.470,W5D2 Map1 run_XX timeout=120,Y,ClearLocalCostmap,2,87150,89227
