run,goal_id,result,time_sec,notes,recovery,recovery_types,recovery_hits,bt_start_line,bt_end_line
1,0914d4073fbacb4941b5e4f725c5c318,S,12.360,W4D5 AplusB tol=0.4 theta=0.4,N,,0,37347,38221
2,25b9dbb3e1faa7f426994a2e959f7141,S,12.160,W4D5 AplusB tol=0.4 theta=0.4,N,,0,53065,53910
3,f1152058481ddb82affc86c384149c5c,S,12.261,W4D5 AplusB tol=0.4 theta=0.4,N,,0,86509,87354
4,50a389ddf43b3f7b22451ffbdeba9116,S,13.099,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
5,1b0d6e295a90b641b4b24a2794bb7101,S,11.960,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
6,9562e3813006e1b96d8c55715da68dc3,S,13.304,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
7,1a95f48ae376afed029e48b0f2ec9d7e,S,13.653,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
8,573bb64707495637a8f7ea964730aff2,S,11.961,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
9,818dc46c3722b41027dcac0b3c4bfa70,S,12.471,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
10,4255c61c97051330e748d320a31e5f3b,S,12.261,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
11,98243368a11754a2668b151ead9ebbcb,S,13.246,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
12,e076ad7f975b12a20336c5375b249b4a,S,12.261,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
13,25d2c6a88040a3b22fef15dfaf10a039,S,12.261,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
14,e19d1f7aba88dd42ef0efd740cd99d3b,S,11.960,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
15,76b1b6bbd034f47d1c7e7f1e1ce92260,S,11.860,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
16,732ef33658dd165ca469df72f42784ae,S,13.006,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
17,dbb24e46fa9eaf80dec86e10f56613fd,S,12.061,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
18,237612bfdd9383cb1319d62c7c30739a,S,12.967,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
19,61fbb7570408851755b728edbc7501c9,S,12.812,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
20,e1ecea418cd0e987d4896a8c0fde2254,S,11.961,W4D5 AplusB tol=0.4 theta=0.4,N,,0,210701,210701
